District,Literacy_Rate,Urbanization_Rate,Electricity_Access,Safe_Water_Access,Per_Capita_Income,Unemployment_Rate,Healthcare_Facilities_Per_Lakh,Road_Density,Education_Score,Health_Score,Infrastructure_Score
Bagalkot,70.5,25.3,89.2,78.5,98500,3.8,18.2,1.25,62.3,58.7,54.2
Ballari,67.4,39.8,91.5,82.1,125000,4.2,22.5,1.48,64.8,61.2,60.5
Belagavi,73.5,28.7,90.8,80.3,105000,3.5,24.8,1.35,68.5,64.3,58.7
Bengaluru Rural,77.2,15.4,95.3,88.6,142000,2.8,28.5,1.82,75.2,70.5,68.3
Bengaluru Urban,88.5,89.7,98.5,94.2,385000,4.1,48.5,3.15,89.5,85.2,88.7
Bidar,70.1,22.8,87.5,75.8,87500,5.2,16.8,1.15,61.5,56.8,52.3
Chamarajanagar,61.5,18.5,85.2,72.4,78500,4.8,14.5,0.95,55.8,52.3,48.5
Chikkaballapur,71.8,16.2,92.8,84.5,102000,3.2,19.8,1.42,66.2,62.5,57.8
Chikkamagaluru,75.8,20.5,93.5,86.2,118000,2.9,25.2,1.55,70.5,68.8,62.5
Chitradurga,72.1,24.8,90.5,81.2,96000,3.6,20.5,1.38,65.8,60.5,56.8
Dakshina Kannada,88.6,48.5,97.2,92.5,165000,2.5,38.5,2.25,84.5,82.3,78.5
Davanagere,75.3,33.2,92.8,85.3,112000,3.3,26.8,1.65,69.8,66.5,63.2
Dharwad,80.8,56.8,95.5,89.8,158000,2.9,35.2,2.05,78.5,75.8,72.5
Gadag,72.5,26.5,89.8,79.5,94500,4.0,19.5,1.28,64.2,59.8,55.5
Hassan,76.3,19.8,94.2,87.5,115000,2.7,24.5,1.58,71.2,67.8,61.8
Haveri,72.8,24.2,90.2,80.8,98000,3.7,21.2,1.32,66.5,61.8,57.2
Kalaburagi,64.5,35.8,86.5,74.2,89500,5.5,17.5,1.22,58.5,55.2,53.8
Kodagu,82.5,15.8,95.8,90.5,145000,2.3,32.5,1.88,76.8,74.5,66.5
Kolar,71.5,21.5,91.5,83.2,108000,3.4,22.8,1.45,67.5,63.8,59.5
Koppal,68.2,23.8,87.8,76.5,86500,4.5,16.2,1.12,60.5,57.2,51.8
Mandya,70.8,18.8,92.2,85.8,105000,3.8,23.5,1.52,68.2,65.5,60.2
Mysuru,84.2,44.5,96.5,91.2,148000,2.6,36.8,2.15,82.5,79.5,75.8
Raichur,59.5,28.5,84.5,71.8,82500,6.2,15.2,1.05,54.2,51.5,49.2
Ramanagara,69.5,17.2,91.8,84.2,98500,3.9,21.5,1.48,65.2,62.2,58.5
Shivamogga,77.5,28.5,94.5,88.2,122000,2.8,27.5,1.72,72.8,69.5,64.8
Tumakuru,75.2,22.8,93.8,86.5,118000,3.1,25.8,1.68,70.8,67.2,62.8
Udupi,86.2,38.5,96.8,91.8,152000,2.4,34.5,2.08,81.5,78.8,74.2
Uttara Kannada,84.5,25.8,95.2,89.5,135000,2.6,30.5,1.78,77.5,73.8,68.5
Vijayapura,65.8,24.5,86.8,75.2,85500,5.8,16.8,1.18,59.8,56.5,52.8
Yadgir,51.8,19.5,82.5,69.5,75500,7.1,13.5,0.88,48.5,47.2,45.5
Vijayanagara,66.5,22.8,88.5,77.2,91000,4.8,17.8,1.20,61.2,58.5,54.5
