District,Literacy_Rate,Urbanization_Rate,Electricity_Access,Safe_Water_Access,Per_Capita_Income,Unemployment_Rate,Healthcare_Facilities_Per_Lakh,Road_Density,Education_Score,Health_Score,Infrastructure_Score,Literacy_Rate_norm,Urbanization_Rate_norm,Electricity_Access_norm,Safe_Water_Access_norm,Per_Capita_Income_norm,Healthcare_Facilities_Per_Lakh_norm,Road_Density_norm,Education_Score_norm,Health_Score_norm,Infrastructure_Score_norm,Unemployment_Rate_norm,Economic_Score,SEDI,Deprivation_Category,SEDI_Rank
Bagalkot,70.5,25.3,89.2,78.5,98500,3.8,18.2,1.25,0.42236876988335104,0.21845864661654135,0.2290945226502999,0.5081521739130436,0.13324360699865412,0.4187500000000002,0.36437246963562747,0.07431340872374798,0.13428571428571426,0.16299559471365638,0.33658536585365845,0.3026315789473684,0.20138888888888895,0.6875,0.380906704361874,32.08295637652832,High Deprivation,23
Ballari,67.4,39.8,91.5,82.1,125000,4.2,22.5,1.48,0.4107370095440086,0.31278195488721805,0.37560944694123455,0.42391304347826114,0.3283983849259758,0.5625,0.5101214574898782,0.15993537964458804,0.2571428571428571,0.2643171806167401,0.397560975609756,0.3684210526315789,0.3472222222222222,0.6041666666666665,0.3820510231556273,37.375831204544255,Medium Deprivation,18
Belagavi,73.5,28.7,90.8,80.3,105000,3.5,24.8,1.35,0.5387393955461295,0.38642857142857134,0.30258951284759894,0.5896739130434784,0.17900403768506057,0.5187499999999998,0.4372469635627529,0.09531502423263329,0.3228571428571429,0.20704845814977976,0.4878048780487805,0.44999999999999984,0.3055555555555556,0.75,0.42265751211631664,41.44151950190413,Medium Deprivation,14
Bengaluru Rural,77.2,15.4,95.3,88.6,142000,2.8,28.5,1.82,0.670718451749735,0.5208646616541353,0.43546867351933427,0.690217391304348,0.0,0.7999999999999998,0.7732793522267203,0.2148626817447496,0.42857142857142855,0.41409691629955947,0.651219512195122,0.613157894736842,0.5277777777777777,0.8958333333333334,0.5553480075390415,54.732411590980675,Low Deprivation,8
Bengaluru Urban,88.5,89.7,98.5,94.2,385000,4.1,48.5,3.15,0.9986413043478262,1.0,1.0,0.9972826086956523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.8125,94.34103260869566,Low Deprivation,1
Bidar,70.1,22.8,87.5,75.8,87500,5.2,16.8,1.15,0.40717788971367974,0.17345864661654128,0.17211159254472094,0.49728260869565216,0.09959623149394348,0.3125,0.2550607287449391,0.03877221324717286,0.0942857142857143,0.11894273127753299,0.3170731707317073,0.25263157894736826,0.15740740740740733,0.39583333333333326,0.21730277329025305,24.470493187498437,High Deprivation,26
Chamarajanagar,61.5,18.5,85.2,72.4,78500,4.8,14.5,0.95,0.22081786850477203,0.08139097744360896,0.07768854861889303,0.26358695652173925,0.04172274562584118,0.16875000000000018,0.11740890688259131,0.009693053311793215,0.02857142857142857,0.030837004405286323,0.17804878048780481,0.13421052631578934,0.06944444444444443,0.47916666666666663,0.24442985998922992,16.423375776640704,High Deprivation,29
Chikkaballapur,71.8,16.2,92.8,84.5,102000,3.2,19.8,1.42,0.48759278897136804,0.2913157894736842,0.29428121123469886,0.5434782608695653,0.010767160161507389,0.6437499999999998,0.6072874493927125,0.08562197092084006,0.18000000000000002,0.23788546255506604,0.4317073170731708,0.40263157894736834,0.28472222222222215,0.8124999999999999,0.44906098546041995,38.844995358437956,Medium Deprivation,17
Chikkamagaluru,75.8,20.5,93.5,86.2,118000,2.9,25.2,1.55,0.5943796394485684,0.4513533834586465,0.3612033373925386,0.6521739130434783,0.06864064602960969,0.6875,0.6761133603238867,0.13731825525040386,0.33428571428571424,0.29515418502202645,0.5365853658536586,0.5684210526315788,0.3935185185185185,0.875,0.506159127625202,48.10141591895666,Medium Deprivation,11
Chitradurga,72.1,24.8,90.5,81.2,96000,3.6,20.5,1.38,0.48679082714740185,0.27499999999999997,0.2770881307881007,0.5516304347826086,0.126514131897712,0.5,0.4736842105263159,0.06623586429725363,0.2,0.2202643171806167,0.42195121951219505,0.3499999999999999,0.261574074074074,0.7291666666666665,0.39770126548196005,36.52801191284637,Medium Deprivation,20
Dakshina Kannada,88.6,48.5,97.2,92.5,165000,2.5,38.5,2.25,0.9390243902439024,0.818984962406015,0.6829135924115369,1.0,0.4454912516823688,0.9187500000000002,0.9311740890688258,0.28917609046849757,0.7142857142857143,0.6035242290748899,0.8780487804878049,0.9236842105263157,0.7638888888888888,0.9583333333333333,0.6237547119009155,75.64079017153375,Low Deprivation,2
Davanagere,75.3,33.2,92.8,85.3,112000,3.3,26.8,1.65,0.5790495758218451,0.4439473684210526,0.4080621460684779,0.6385869565217391,0.23956931359353978,0.6437499999999998,0.6396761133603237,0.11793214862681745,0.38,0.33920704845814975,0.5195121951219511,0.5078947368421052,0.40972222222222227,0.7916666666666666,0.45479940764674204,47.20072264508139,Medium Deprivation,13
Dharwad,80.8,56.8,95.5,89.8,158000,2.9,35.2,2.05,0.7598753976670202,0.6863157894736842,0.6275297601401628,0.7880434782608696,0.5572005383580081,0.8125,0.8218623481781374,0.2665589660743134,0.6200000000000001,0.5154185022026432,0.7317073170731707,0.7526315789473683,0.625,0.875,0.5707794830371566,65.53482922576795,Low Deprivation,5
