District,SEDI,SEDI_Rank,Deprivation_Category,Education_Score,Health_Score,Infrastructure_Score,Economic_Score
Bengaluru Urban,94.34103260869566,1,Low Deprivation,0.9986413043478262,1.0,1.0,0.8125
Dakshina Kannada,75.64079017153375,2,Low Deprivation,0.9390243902439024,0.818984962406015,0.6829135924115369,0.6237547119009155
Mysuru,69.90163628257872,3,Low Deprivation,0.8548515376458113,0.7578571428571428,0.6318789263506218,0.585874394184168
Udupi,69.44187785107724,4,Low Deprivation,0.8698303287380702,0.7157894736842104,0.5994094906872145,0.6131697630586967
Dharwad,65.53482922576795,5,Low Deprivation,0.7598753976670202,0.6863157894736842,0.6275297601401628,0.5707794830371566
Kodagu,61.057614176364815,6,Low Deprivation,0.7622415164369035,0.6306390977443608,0.44081833138827453,0.6122778675282714
Uttara Kannada,60.393415716257934,7,Low Deprivation,0.7979520148462355,0.5928571428571427,0.4656515651080285,0.5648727786752827
Bengaluru Rural,54.732411590980675,8,Low Deprivation,0.670718451749735,0.5208646616541353,0.43546867351933427,0.5553480075390415
Shivamogga,52.592184346752866,9,Low Deprivation,0.6455262460233299,0.4934210526315789,0.43577888994184477,0.5230378298330641
Hassan,48.69699437887235,10,Low Deprivation,0.6097097030752916,0.4281954887218044,0.36903855993899226,0.5221459343026387
Chikkamagaluru,48.10141591895666,11,Medium Deprivation,0.5943796394485684,0.4513533834586465,0.3612033373925386,0.506159127625202
Tumakuru,47.82644312796271,12,Medium Deprivation,0.5898860021208908,0.4388721804511278,0.38968302548647327,0.48532579429186856
Davanagere,47.20072264508139,13,Medium Deprivation,0.5790495758218451,0.4439473684210526,0.4080621460684779,0.45479940764674204
Belagavi,41.44151950190413,14,Medium Deprivation,0.5387393955461295,0.38642857142857134,0.30258951284759894,0.42265751211631664
Kolar,40.27103778604832,15,Medium Deprivation,0.4993703605514317,0.35127819548872175,0.3049437479728678,0.4379207054388799
Mandya,39.83897544346435,16,Medium Deprivation,0.49839607635206795,0.38364661654135335,0.31855663361384345,0.39140751211631664
Chikkaballapur,38.844995358437956,17,Medium Deprivation,0.48759278897136804,0.2913157894736842,0.29428121123469886,0.44906098546041995
Ballari,37.375831204544255,18,Medium Deprivation,0.4107370095440086,0.31278195488721805,0.37560944694123455,0.3820510231556273
Haveri,37.03074765162682,19,Medium Deprivation,0.504838282078473,0.30210526315789465,0.26608867355721444,0.3905156165858912
Chitradurga,36.52801191284637,20,Medium Deprivation,0.48679082714740185,0.27499999999999997,0.2770881307881007,0.39770126548196005
Ramanagara,35.76847061878971,21,Medium Deprivation,0.4441476670201486,0.31165413533834585,0.2926798042265144,0.3704900376952073
Gadag,33.789608633862,22,High Deprivation,0.4727134146341464,0.2515037593984962,0.25333432061672245,0.35361133548734514
Bagalkot,32.08295637652832,23,High Deprivation,0.42236876988335104,0.21845864661654135,0.2290945226502999,0.380906704361874
Vijayanagara,26.155492060905992,24,High Deprivation,0.35460630965005313,0.2101127819548872,0.2059746819557179,0.2646237210554658
Koppal,25.639472880698623,25,High Deprivation,0.369167550371156,0.1701503759398496,0.17396634681896422,0.28860393107162086
Bidar,24.470493187498437,26,High Deprivation,0.40717788971367974,0.17345864661654128,0.17211159254472094,0.21730277329025305
Kalaburagi,21.704722899977508,27,High Deprivation,0.29450556733828215,0.16240601503759397,0.21661798735772192,0.1892837910608508
Vijayapura,20.465225704746377,28,High Deprivation,0.3280222693531283,0.1695112781954887,0.17309162965674948,0.15157175551965532
Chamarajanagar,16.423375776640704,29,High Deprivation,0.22081786850477203,0.08139097744360896,0.07768854861889303,0.24442985998922992
Raichur,12.008908255193044,30,High Deprivation,0.1741317603393426,0.08086466165413529,0.11546256590856041,0.10505856219709203
Yadgir,0.34488559892328396,31,High Deprivation,0.0,0.0,0.013795423956931358,0.0
