District,Literacy_Rate,Urbanization_Rate,Electricity_Access,Safe_Water_Access,Per_Capita_Income,Unemployment_Rate,Healthcare_Facilities_Per_Lakh,Road_Density,Education_Score,Health_Score,Infrastructure_Score,Literacy_Rate_norm,Urbanization_Rate_norm,Electricity_Access_norm,Safe_Water_Access_norm,Per_Capita_Income_norm,Healthcare_Facilities_Per_Lakh_norm,Road_Density_norm,Education_Score_norm,Health_Score_norm,Infrastructure_Score_norm,Unemployment_Rate_norm,Economic_Score,SEDI,Deprivation_Category,SEDI_Rank,Latitude,Longitude,Spatial_Lag
Bagalkot,70.5,25.3,89.2,78.5,98500,3.8,18.2,1.25,0.422368769883351,0.2184586466165413,0.2290945226502999,0.5081521739130436,0.1332436069986541,0.4187500000000002,0.3643724696356274,0.0743134087237479,0.1342857142857142,0.1629955947136563,0.3365853658536584,0.3026315789473684,0.2013888888888889,0.6875,0.380906704361874,32.08295637652832,High Deprivation,23,16.1697,75.6947,34.31692570119619
Ballari,67.4,39.8,91.5,82.1,125000,4.2,22.5,1.48,0.4107370095440086,0.312781954887218,0.3756094469412345,0.4239130434782611,0.3283983849259758,0.5625,0.5101214574898782,0.159935379644588,0.2571428571428571,0.2643171806167401,0.397560975609756,0.3684210526315789,0.3472222222222222,0.6041666666666665,0.3820510231556273,37.375831204544255,Medium Deprivation,18,15.1394,76.9214,29.50652155094508
Belagavi,73.5,28.7,90.8,80.3,105000,3.5,24.8,1.35,0.5387393955461295,0.3864285714285713,0.3025895128475989,0.5896739130434784,0.1790040376850605,0.5187499999999998,0.4372469635627529,0.0953150242326332,0.3228571428571429,0.2070484581497797,0.4878048780487805,0.4499999999999998,0.3055555555555556,0.75,0.4226575121163166,41.44151950190413,Medium Deprivation,14,15.8497,74.4977,45.766311520808614
Bengaluru Rural,77.2,15.4,95.3,88.6,142000,2.8,28.5,1.82,0.670718451749735,0.5208646616541353,0.4354686735193342,0.690217391304348,0.0,0.7999999999999998,0.7732793522267203,0.2148626817447496,0.4285714285714285,0.4140969162995594,0.651219512195122,0.613157894736842,0.5277777777777777,0.8958333333333334,0.5553480075390415,54.73241159098068,Low Deprivation,8,13.0747,77.3986,51.410395899986874
Bengaluru Urban,88.5,89.7,98.5,94.2,385000,4.1,48.5,3.15,0.9986413043478262,1.0,1.0,0.9972826086956524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.8125,94.34103260869566,Low Deprivation,1,12.9716,77.5946,43.48867169644388
Bidar,70.1,22.8,87.5,75.8,87500,5.2,16.8,1.15,0.4071778897136797,0.1734586466165412,0.1721115925447209,0.4972826086956521,0.0995962314939434,0.3125,0.2550607287449391,0.0387722132471728,0.0942857142857143,0.1189427312775329,0.3170731707317073,0.2526315789473682,0.1574074074074073,0.3958333333333332,0.217302773290253,24.47049318749844,High Deprivation,26,17.9134,77.5301,17.32133976707371
Chamarajanagar,61.5,18.5,85.2,72.4,78500,4.8,14.5,0.95,0.220817868504772,0.0813909774436089,0.077688548618893,0.2635869565217392,0.0417227456258411,0.1687500000000001,0.1174089068825913,0.0096930533117932,0.0285714285714285,0.0308370044052863,0.1780487804878048,0.1342105263157893,0.0694444444444444,0.4791666666666666,0.2444298599892299,16.423375776640704,High Deprivation,29,11.926,76.9437,58.91650530890183
Chikkaballapur,71.8,16.2,92.8,84.5,102000,3.2,19.8,1.42,0.487592788971368,0.2913157894736842,0.2942812112346988,0.5434782608695653,0.0107671601615073,0.6437499999999998,0.6072874493927125,0.08562197092084,0.18,0.237885462555066,0.4317073170731708,0.4026315789473683,0.2847222222222221,0.8124999999999999,0.4490609854604199,38.84499535843796,Medium Deprivation,17,13.4355,77.7315,54.58787914649542
Chikkamagaluru,75.8,20.5,93.5,86.2,118000,2.9,25.2,1.55,0.5943796394485684,0.4513533834586465,0.3612033373925386,0.6521739130434783,0.0686406460296096,0.6875,0.6761133603238867,0.1373182552504038,0.3342857142857142,0.2951541850220264,0.5365853658536586,0.5684210526315788,0.3935185185185185,0.875,0.506159127625202,48.10141591895666,Medium Deprivation,11,13.3161,75.772,61.48589218492021
Chitradurga,72.1,24.8,90.5,81.2,96000,3.6,20.5,1.38,0.4867908271474018,0.2749999999999999,0.2770881307881007,0.5516304347826086,0.126514131897712,0.5,0.4736842105263159,0.0662358642972536,0.2,0.2202643171806167,0.421951219512195,0.3499999999999999,0.261574074074074,0.7291666666666665,0.39770126548196,36.52801191284637,Medium Deprivation,20,14.2226,76.3988,46.61931944865958
